"r","L_centered","L_lo","L_hi","Label","Modality"
303.030303030303,657.471344750008,-8.90850842362551,12.0595821689362,"Bx2","RNA"
313.131313131313,671.690330973475,-8.66198238250473,12.2833865461213,"Bx2","RNA"
323.232323232323,683.942414293545,-8.37122450011702,13.2119314084403,"Bx2","RNA"
333.333333333333,696.723731230097,-7.94683332423455,14.1174603839783,"Bx2","RNA"
343.434343434343,710.49561152668,-7.70421938413853,14.1393919871874,"Bx2","RNA"
353.535353535354,724.012714637654,-8.28466760998515,13.5257673406341,"Bx2","RNA"
363.636363636364,737.955108014067,-8.27803766755807,13.9076275008785,"Bx2","RNA"
373.737373737374,749.891624507608,-8.83261676418437,14.0812233539042,"Bx2","RNA"
383.838383838384,759.98585695145,-9.22157287590835,13.6089906001799,"Bx2","RNA"
393.939393939394,770.762781750199,-9.15975271343308,16.4740937418158,"Bx2","RNA"
404.040404040404,779.938380308378,-8.8599683457411,15.9206489157455,"Bx2","RNA"
414.141414141414,790.21244895312,-8.47632529943826,15.119095406379,"Bx2","RNA"
424.242424242424,800.712256172544,-9.33883521268513,13.6405761454148,"Bx2","RNA"
434.343434343434,810.152251227398,-9.64791115337704,12.0421054735843,"Bx2","RNA"
444.444444444444,819.337803027931,-9.20224156382784,11.6791250466516,"Bx2","RNA"
454.545454545455,828.071383632166,-9.56669541993222,10.7509033186488,"Bx2","RNA"
464.646464646465,835.616835244619,-10.407176188429,10.5830239497998,"Bx2","RNA"
474.747474747475,843.265602863866,-9.6118664746528,10.8227156888975,"Bx2","RNA"
484.848484848485,851.485516369887,-8.10720802163132,9.58131814854875,"Bx2","RNA"
494.949494949495,858.754625317828,-8.19939087574966,8.82132356113561,"Bx2","RNA"
505.050505050505,864.749339973972,-8.31203830518575,9.96675261415118,"Bx2","RNA"
515.151515151515,870.26873860605,-8.08860759293356,9.38044774020864,"Bx2","RNA"
525.252525252525,876.548254927925,-7.24249672761084,10.1191626376609,"Bx2","RNA"
535.353535353535,882.100654332705,-7.23467750558029,9.65600233767668,"Bx2","RNA"
545.454545454545,887.708014671393,-7.18657401843484,9.96585772303126,"Bx2","RNA"
555.555555555556,892.277919244918,-7.76085115561966,9.79787148232049,"Bx2","RNA"
565.656565656566,897.054863461611,-7.01419223066125,10.5034046071371,"Bx2","RNA"
575.757575757576,901.880332751311,-7.46960572889202,9.63355431030595,"Bx2","RNA"
585.858585858586,907.391063646376,-7.57308460143815,10.4536503390367,"Bx2","RNA"
595.959595959596,912.238194211091,-8.17658936318355,9.5103758635679,"Bx2","RNA"
606.060606060606,917.534114203762,-8.36518311918098,10.7166878625756,"Bx2","RNA"
616.161616161616,922.699934977896,-8.38745550031012,9.36798444967826,"Bx2","RNA"
626.262626262626,928.420546245204,-7.76410970398547,9.59130470293042,"Bx2","RNA"
636.363636363636,933.211562706023,-8.56051155761645,9.07361726159934,"Bx2","RNA"
646.464646464646,937.601141770173,-8.81038896456687,9.69842482101501,"Bx2","RNA"
656.565656565656,941.927984185058,-7.72474074602098,9.086000708254,"Bx2","RNA"
666.666666666667,946.256955877434,-7.9632407433254,9.15819844013106,"Bx2","RNA"
676.767676767677,948.849322121864,-7.55048168486906,8.36373028837033,"Bx2","RNA"
686.868686868687,952.723467712184,-8.17596332254357,8.64258944019059,"Bx2","RNA"
696.969696969697,956.441560038371,-8.59029709279127,8.63563874947465,"Bx2","RNA"
707.070707070707,959.938886694157,-9.21253895576444,8.80055872666765,"Bx2","RNA"
717.171717171717,962.835810054089,-9.69755354269614,8.26156142877244,"Bx2","RNA"
727.272727272727,965.645206190529,-9.94655591618334,8.80654673426932,"Bx2","RNA"
737.373737373737,968.894121682551,-9.10842061601159,10.3883497650963,"Bx2","RNA"
747.474747474747,971.260572741676,-9.98491615310218,10.2729484119392,"Bx2","RNA"
757.575757575758,974.04743294117,-10.0418606349367,10.3022081839571,"Bx2","RNA"
767.676767676768,977.466908520782,-9.30487231117195,10.764739989677,"Bx2","RNA"
777.777777777778,980.503737075463,-9.14007899401952,10.5994853436691,"Bx2","RNA"
